Table S1- Differentially expressed genes for CHD8-A and CHD8-B human derived neurons compared to the isogenic control. 									
gene	baseMean_CHD8KO_lineA	log2FoldChange_CHD8KO_lineA	lfcSE_CHD8KO_lineA	pvalue_CHD8KO_lineA	log2FoldChange_CHD8KO_lineB	lfcSE_CHD8KO_lineB	pvalue_CHD8KO_lineB	padj_CHD8KO_lineB	meanLFC_bothLines
SCG5	270.3485682	1.338990686	0.168119612	1.66E-15	1.482873529	0.168681701	1.48E-18	1.66E-15	1.410932108
SCML2	142.9590063	-0.923145541	0.159108153	6.55E-09	-1.085146361	0.163376748	3.09E-11	7.68E-09	-1.004145951
SCN2A	30.78480447	1.54823957	0.270533093	1.05E-08	1.015243997	0.27619668	0.000237104	0.007276906	1.281741783
SCN3B	133.9002334	0.60439702	0.170189317	0.000383302	0.739890125	0.171403581	1.58E-05	0.000760631	0.672143572
SCN9A	24.68725904	1.230256543	0.289133749	2.09E-05	1.355547484	0.290445938	3.05E-06	0.000188132	1.292902014
SDHD	111.7101955	-0.764992318	0.185428703	3.70E-05	-0.61594927	0.186993067	0.000987836	0.021570564	-0.690470794
SEMA3C	147.6713274	0.514951848	0.174265459	0.003126841	0.823996192	0.174537245	2.35E-06	0.000151859	0.66947402
SEMA6A	71.64895717	-0.543779708	0.19815385	0.006065305	-0.599806213	0.20213995	0.003004454	0.049234449	-0.571792961
11-Sep	468.2988211	-0.43423445	0.125807121	0.000557296	-0.433115782	0.126919079	0.000643617	0.015369366	-0.433675116
SERF2	447.6961939	-0.689442409	0.153079371	6.67E-06	-0.490774392	0.153513428	0.001388901	0.028000627	-0.5901084
SERINC3	472.2574736	-0.575599922	0.126305576	5.18E-06	-0.602284534	0.127543582	2.33E-06	0.000151859	-0.588942228
SERPINB9	228.1744944	0.498609398	0.17676552	0.004791317	0.604298531	0.177553897	0.000665369	0.015804273	0.551453965
SERPINI1	201.8696672	0.790275476	0.173194711	5.04E-06	0.708868975	0.174719826	4.97E-05	0.002007244	0.749572225
SESN3	118.4192118	-0.734992934	0.187141704	8.58E-05	-0.93412424	0.191106411	1.02E-06	7.28E-05	-0.834558587
SESTD1	80.70002839	0.687202612	0.196627313	0.000474151	0.635274819	0.199411675	0.001443816	0.028718758	0.661238715
SFRP1	72.30013185	-1.315215023	0.200365612	5.24E-11	-0.780947871	0.198415082	8.29E-05	0.003065352	-1.048081447
SGIP1	26.90547906	0.824258827	0.272244724	0.002464721	0.78638266	0.275180594	0.004267281	0.063083622	0.805320744
SH3BGRL3	143.6980659	-0.530942999	0.158645755	0.000817736	-0.639433608	0.162052234	7.95E-05	0.002960245	-0.585188304
SHFM1	674.4242109	-0.472099321	0.110477254	1.93E-05	-0.398396858	0.111215162	0.00034069	0.009690148	-0.435248089
SHISA9	128.7663938	-0.796770327	0.175651975	5.73E-06	-0.727641117	0.177753318	4.25E-05	0.001732486	-0.762205722
SHOX2	63.91809143	-1.115731904	0.205216495	5.42E-08	-1.09223473	0.209111403	1.76E-07	1.65E-05	-1.103983317
SIM1	33.06145686	1.835745093	0.271601554	1.39E-11	1.086012377	0.278100507	9.42E-05	0.003378124	1.460878735
SIX1	139.752969	-1.287412782	0.161428595	1.52E-15	-1.257197241	0.164432907	2.08E-14	1.09E-11	-1.272305012
SLC12A2	145.3496726	-0.656736349	0.174355354	0.00016545	-0.502902433	0.175645512	0.004194294	0.062640874	-0.579819391
SLC16A1	79.32192713	-0.798700419	0.187998833	2.15E-05	-0.571502731	0.18932228	0.002538814	0.043431529	-0.685101575
SLC16A14	30.31177217	0.943223428	0.270730728	0.000493996	1.103272328	0.27207892	5.01E-05	0.002017133	1.023247878
SLC17A6	164.8262418	1.042431875	0.161453273	1.07E-10	0.789407269	0.164259796	1.54E-06	0.000104262	0.915919572
SLC25A14	71.29774368	-0.568743286	0.193551042	0.003298401	-0.62536144	0.197706975	0.001561136	0.03037583	-0.597052363
SLC25A5	181.6257954	-0.706141223	0.162301983	1.36E-05	-0.474901262	0.163059317	0.003586116	0.056188768	-0.590521242
SLC25A6	63.83672237	-0.631879747	0.205381465	0.002093653	-0.702702764	0.209726804	0.000806476	0.018421069	-0.667291256
SLC2A3	164.3063117	-0.447031675	0.153930665	0.00368298	-0.529745764	0.156792498	0.000728447	0.016986324	-0.488388719
SLIRP	1007.839646	-0.560168367	0.12667659	9.78E-06	-0.446153729	0.127046734	0.000445201	0.011976184	-0.503161048
SLITRK4	17.35039208	1.522840186	0.306040349	6.49E-07	1.00746753	0.309599249	0.001137514	0.024016881	1.265153858
SLK	56.78085057	-0.691902049	0.214872337	0.001281633	-0.814212003	0.219893897	0.000213275	0.006660012	-0.753057026
SLMO2	176.084006	-0.86896736	0.153423281	1.48E-08	-0.830632926	0.155619702	9.42E-08	9.78E-06	-0.849800143
SMIM7	104.824987	-0.578188865	0.191458709	0.002528463	-0.695521803	0.194928586	0.0003596	0.01009932	-0.636855334
SNAP25	29.54068712	0.901759742	0.284583554	0.001531227	0.960488139	0.286188517	0.000790391	0.018099963	0.93112394
SNAP91	24.56739727	0.734220076	0.283935292	0.009713324	1.013972634	0.284464037	0.000364548	0.010142601	0.874096355
SNCA	81.16228772	1.273170114	0.203864467	4.23E-10	0.794704939	0.208867377	0.000141901	0.004728811	1.033937527
SNHG5	579.7219928	-0.870293136	0.141968579	8.78E-10	-0.830800414	0.142749072	5.88E-09	8.62E-07	-0.850546775
SNRPD2	875.826767	-0.586295862	0.126254529	3.42E-06	-0.476554454	0.126692638	0.000168897	0.005505177	-0.531425158
SNRPE	559.2028805	-0.485378351	0.133962557	0.000290937	-0.447913947	0.134746539	0.000886974	0.019931864	-0.466646149
SNRPF	216.6551512	-0.667761371	0.156133962	1.90E-05	-0.589545508	0.157575298	0.000183029	0.005879972	-0.62865344
SNRPG	1048.449864	-0.604425109	0.126363125	1.72E-06	-0.432185316	0.126641733	0.000643319	0.015369366	-0.518305212
SNX10	20.412224	0.964557869	0.296343578	0.001134469	1.072898265	0.29771486	0.000313625	0.009153544	1.018728067
SPARC	330.125164	-1.55164942	0.136057145	3.98E-30	-1.29073574	0.136622202	3.47E-21	5.17E-18	-1.42119258
SPAST	337.3844671	0.416225538	0.149136644	0.005256162	0.432468339	0.150100211	0.003961674	0.060368282	0.424346938
SPOCK1	31.21933575	0.955714123	0.27468173	0.00050263	1.373064998	0.274345275	5.59E-07	4.54E-05	1.16438956
SPOCK3	42.68290297	0.627392224	0.243007858	0.009829293	0.7022203	0.245129285	0.004174129	0.062444128	0.664806262
SPP1	75.46340363	-1.0393244	0.198510669	1.64E-07	-0.70604251	0.198784409	0.000382605	0.010579093	-0.872683455
SRSF12	38.77894172	0.861309632	0.245146434	0.000442328	0.729356637	0.24896225	0.003394125	0.054324246	0.795333135
SRSF3	923.8130531	-0.699894263	0.126635055	3.26E-08	-0.656204479	0.12717485	2.47E-07	2.19E-05	-0.678049371
SRSF5	286.8684547	-0.429372232	0.168800452	0.010969543	-0.474127251	0.170125958	0.005321179	0.07379418	-0.451749741
SRSF6	657.8716657	-0.629427005	0.109454765	8.89E-09	-0.551385224	0.110239014	5.68E-07	4.57E-05	-0.590406114
SRSF7	496.754369	-0.550703213	0.12529407	1.11E-05	-0.494457579	0.126214839	8.94E-05	0.003256944	-0.522580396
SSBP1	697.9452	-0.549509671	0.119446434	4.22E-06	-0.353786433	0.119831707	0.003153542	0.050929994	-0.451648052
ST18	86.97994211	-0.763140063	0.187683173	4.78E-05	-0.59048134	0.189408941	0.001823953	0.034294161	-0.676810701
ST8SIA1	111.6068214	0.611290621	0.203900975	0.002717774	0.961212398	0.203984047	2.45E-06	0.000156333	0.78625151
STAG2	128.0259747	-1.127431311	0.174890393	1.14E-10	-0.474395928	0.172682114	0.006010262	0.080839837	-0.80091362
STMN3	92.67201824	-1.113486502	0.182191054	9.86E-10	-1.118847682	0.185953601	1.78E-09	3.18E-07	-1.116167092
STMN4	85.10504836	0.639809084	0.204624155	0.001767487	0.748939383	0.206119281	0.000279576	0.008267867	0.694374233
SUPT4H1	226.6268923	-0.47376655	0.148296155	0.001399605	-0.484285378	0.150164756	0.001259608	0.02579586	-0.479025964
SV2A	21.03722483	1.122653713	0.297768774	0.000163104	1.083085907	0.299729282	0.000302036	0.008888787	1.10286981
SVIP	153.167587	-0.878393421	0.180388901	1.12E-06	-0.671403576	0.181321308	0.0002132	0.006660012	-0.774898498
SYPL1	35.83656849	-0.827840301	0.246906411	0.000799839	-0.871088908	0.251352556	0.000529038	0.01385528	-0.849464605
SYT1	300.4912814	0.737520873	0.142866029	2.44E-07	0.664855713	0.144243922	4.04E-06	0.00024062	0.701188293
SYT11	227.7994891	1.236243079	0.157069064	3.53E-15	0.520339144	0.160945546	0.001224917	0.025206763	0.878291112
SYT13	64.23728099	1.495922563	0.221573807	1.46E-11	0.821300523	0.227977038	0.000315101	0.009166667	1.158611543
SYT4	1055.101204	1.054176113	0.112705491	8.49E-21	0.69295603	0.113590391	1.06E-09	2.20E-07	0.873566071
TAC1	60.08632749	1.280947117	0.241382916	1.12E-07	1.822266532	0.240468958	3.51E-14	1.74E-11	1.551606824
TAF9B	167.2149964	1.966053689	0.1906195	6.09E-25	2.037036451	0.191529473	2.03E-26	3.63E-23	2.00154507
TAOK3	38.86711735	0.81025011	0.246456289	0.001010447	0.737410953	0.249707905	0.00314606	0.050901198	0.773830531
TBC1D20	42.98081182	0.913246158	0.244663713	0.000189469	0.660530491	0.248984871	0.007980491	0.098221664	0.786888324
TCEAL5	11.34869773	0.813968361	0.317530423	0.010364233	1.099163415	0.317710617	0.000540904	0.013961889	0.956565888
TCEAL7	449.0927562	0.729234324	0.147922487	8.23E-07	1.084666776	0.147955812	2.28E-13	8.16E-11	0.90695055
TERF1	507.0036558	-0.594774607	0.121169988	9.17E-07	-0.47849746	0.121933746	8.70E-05	0.003197645	-0.536636033
TES	59.92541461	0.844109369	0.215344752	8.86E-05	0.804043512	0.218235027	0.000229331	0.00706261	0.824076441
TFAP2C	23.9345221	-1.349745558	0.278868505	1.30E-06	-0.779882876	0.2764529	0.004786921	0.068403188	-1.064814217
TGFB3	11.75273645	-0.946425107	0.313180138	0.002511245	-1.081167738	0.31571367	0.000615887	0.015028647	-1.013796422
THSD7B	54.58971898	-0.767050646	0.223819028	0.00061006	-0.599220764	0.22572276	0.007938465	0.098061449	-0.683135705
TMBIM6	1184.426878	-0.455838319	0.113075582	5.55E-05	-0.302141142	0.113374726	0.007699338	0.095769898	-0.378989731
TMCC1	79.59926879	0.747044889	0.198118823	0.000162796	0.688583504	0.200909201	0.000609533	0.014999943	0.717814197
TMEM163	19.34002181	0.892452149	0.298352804	0.002778247	1.206029646	0.298615272	5.37E-05	0.002095818	1.049240898
TMEM169	188.561408	-0.490110421	0.150504841	0.001128176	-0.469865993	0.15251931	0.002065157	0.037411601	-0.479988207
TMEM196	7.634490607	0.967848151	0.317158164	0.002276054	1.042683713	0.31694071	0.001002449	0.021783153	1.005265932
TMEM35	252.2533957	1.041116789	0.185612484	2.03E-08	0.620864629	0.187494538	0.000928389	0.02053998	0.830990709
TMEM64	28.27127884	-1.098925765	0.268506103	4.26E-05	-0.851467029	0.269703973	0.001593779	0.03074306	-0.975196397
TMEM97	319.0888057	-0.419087503	0.15312611	0.006202526	-0.920528344	0.156256531	3.84E-09	6.12E-07	-0.669807923
TMOD2	245.3642642	0.398297862	0.149409131	0.007680078	0.617898498	0.149956929	3.78E-05	0.001577701	0.50809818
TMSB15B	648.4249659	-0.578344495	0.14687012	8.22E-05	-0.44398435	0.147300761	0.002577133	0.043757361	-0.511164423
TMSB4X	56611.19205	-0.628909799	0.128055278	9.05E-07	-0.428000575	0.128059732	0.000831187	0.018840941	-0.528455187
TMX2	228.3145567	-0.441266203	0.143787899	0.002148709	-0.485260099	0.145877348	0.00087946	0.01983448	-0.463263151
TMX4	12.63119868	1.221039216	0.313984244	0.000100718	1.001988713	0.315838394	0.001511467	0.029864853	1.111513964
TNFRSF19	46.6987791	-0.99729618	0.246710215	5.29E-05	-0.87630218	0.248956441	0.000431707	0.011719071	-0.93679918
TOB1	48.77511319	-0.742283371	0.236978497	0.001734535	-0.881552517	0.241730884	0.000265491	0.007956707	-0.811917944
TOMM6	369.1915878	-0.536974409	0.140975683	0.000139538	-0.576552057	0.142360252	5.12E-05	0.002029271	-0.556763233
TP53INP1	80.00382946	-0.91678637	0.189616658	1.33E-06	-0.73714595	0.191457339	0.000118029	0.00410163	-0.82696616
TP53INP2	20.43258646	-0.925715562	0.280642393	0.000971824	-0.80634315	0.283227336	0.004413585	0.064605003	-0.866029356
TPD52	31.37892176	0.719307846	0.267341527	0.007132467	0.850670737	0.268917799	0.001559854	0.03037583	0.784989291
TPD52L2	13.50272181	-0.837085901	0.301001659	0.005419158	-1.102420463	0.306435913	0.000321221	0.009314364	-0.969753182
TPI1	253.3236296	-0.638389326	0.155305785	3.95E-05	-0.579594269	0.156644847	0.000215554	0.006707719	-0.608991798
TRAPPC2	1110.183607	0.465278301	0.118795609	8.98E-05	0.534780407	0.119136933	7.16E-06	0.000394891	0.500029354
TRDN	21.10223858	-1.331278171	0.294509952	6.17E-06	-1.196435242	0.296404375	5.43E-05	0.002106758	-1.263856707
TRIAP1	104.1261968	-0.814062245	0.198378426	4.07E-05	-0.663717649	0.199880291	0.00089832	0.020074303	-0.738889947
TRIM13	252.0293528	0.461297735	0.146263057	0.001611093	0.507808159	0.147447279	0.00057318	0.01446064	0.484552947
TRIM2	281.5286811	0.487026033	0.136686631	0.000366522	0.522422371	0.137890937	0.00015146	0.004973117	0.504724202
TSPAN6	112.09488	-0.658346738	0.199110308	0.000944888	-0.572339441	0.20082445	0.004372624	0.064230106	-0.61534309
TSPAN7	154.6915776	0.762110834	0.163874518	3.31E-06	0.840633407	0.16525733	3.64E-07	3.13E-05	0.80137212
TTC3	480.4815708	0.701463578	0.124081713	1.57E-08	0.657999147	0.12505926	1.43E-07	1.40E-05	0.679731363
TUB	22.58423073	1.100992442	0.293945097	0.000179983	1.039654346	0.296128581	0.000446726	0.011981101	1.070323394
TUBB3	581.9405011	-0.731434557	0.138303222	1.23E-07	-0.668782088	0.139019525	1.50E-06	0.000104075	-0.700108322
TXNDC16	48.94111254	-1.755102721	0.228160852	1.44E-14	-1.61950802	0.231378016	2.57E-12	7.65E-10	-1.687305371
TXNDC17	232.6718686	-0.835462914	0.169510699	8.28E-07	-0.579510089	0.169992386	0.00065193	0.015526361	-0.707486501
UBA52	1346.401439	-0.529114157	0.133867826	7.73E-05	-0.531569672	0.134244903	7.50E-05	0.002827912	-0.530341915
UBE2C	12.47844531	-0.900416775	0.30571699	0.003226808	-0.925648509	0.308735013	0.002715817	0.045421279	-0.913032642
UBE2L3	388.6397703	-0.4592578	0.129248018	0.000380421	-0.441904702	0.130483801	0.000707482	0.016600093	-0.450581251
UGP2	190.9074033	-0.893105701	0.149518679	2.33E-09	-0.64666299	0.150266325	1.68E-05	0.000803131	-0.769884345
USP44	46.9649192	-1.624920756	0.232603894	2.83E-12	-0.877414562	0.227479933	0.000114737	0.004002787	-1.251167659
VIM	100.8778121	0.771068113	0.191573091	5.70E-05	0.786700192	0.193511675	4.80E-05	0.001946652	0.778884153
VRK1	202.6044126	-0.546071296	0.147837916	0.000221	-0.425871103	0.149206393	0.00431397	0.06347293	-0.4859712
WDR3	64.14509677	-0.572881603	0.207220961	0.005699387	-0.669279235	0.211686558	0.001568769	0.030457993	-0.621080419
WNK3	177.8282341	0.828411894	0.156749841	1.26E-07	0.547975003	0.159676865	0.000599646	0.014917651	0.688193449
XPR1	228.8211948	1.128390752	0.146204213	1.18E-14	1.072886825	0.147775605	3.86E-13	1.33E-10	1.100638788
XRN2	238.0073669	0.734506355	0.159664138	4.22E-06	0.704190974	0.160978506	1.22E-05	0.000610841	0.719348665
ZCCHC11	50.49231793	0.751354478	0.241797106	0.001887563	0.656075944	0.244660694	0.007327654	0.092827342	0.703715211
ZFAS1	347.8487733	-0.74993037	0.187694444	6.46E-05	-0.702404914	0.188462909	0.000193758	0.006180174	-0.726167642
ZFP42	85.69059549	-0.575744253	0.21524854	0.007477648	-0.65048261	0.218161311	0.002866912	0.047503515	-0.613113431
ZMYND8	37.86737791	-0.871275751	0.242496824	0.000326972	-0.755840106	0.245226143	0.002054652	0.037339363	-0.813557928
ZNF217	33.15939313	-0.771630872	0.248553033	0.001906062	-1.113741535	0.256927356	1.46E-05	0.000711843	-0.942686203
ZNF512	187.3958205	0.525456879	0.146762535	0.000343173	0.413320061	0.149110253	0.00557286	0.076151388	0.46938847
ZNF521	36.77892885	1.091395527	0.255528803	1.94E-05	0.809073671	0.259955809	0.001856038	0.034751102	0.950234599
ZNF605	30.7842014	0.799907683	0.261352295	0.002208577	0.706184266	0.26482382	0.007661845	0.095769898	0.753045974
ZNF702P	12.01160046	-1.038952395	0.312872785	0.000897964	-0.845819357	0.313775182	0.007025729	0.090543708	-0.942385876
ZNF709	105.8620471	0.614265531	0.195625379	0.001689424	0.525265214	0.198009482	0.007984428	0.098221664	0.569765373
